
Filter ID:  |  Fs:   | Type: |  Order: |   f_low: | f_high: 
        126 |   1200 |     1 |       6 |     0.01 | 250     
        127 |   1200 |     1 |       6 |     0.01 | 500     
        128 |   1200 |     1 |       6 |      0.1 | 100     
        129 |   1200 |     1 |       8 |      0.1 | 200     
        130 |   1200 |     1 |       8 |      0.1 | 250     
        131 |   1200 |     1 |       8 |      0.1 | 500     
        132 |   1200 |     1 |       8 |      0.5 | 100     
        133 |   1200 |     1 |       8 |      0.5 | 200     
        134 |   1200 |     1 |       8 |      0.5 | 250     
        135 |   1200 |     1 |       8 |      0.5 | 500     
        136 |   1200 |     1 |       8 |        2 | 100     
        137 |   1200 |     1 |       8 |        2 | 200     
        138 |   1200 |     1 |       8 |        2 | 250     
        139 |   1200 |     1 |       8 |        2 | 500     
        140 |   1200 |     1 |       8 |        5 | 100     
        141 |   1200 |     1 |       8 |        5 | 200     
        142 |   1200 |     1 |       8 |        5 | 250     
        143 |   1200 |     1 |       8 |        5 | 500     
        144 |   2400 |     1 |       8 |      0.1 | 0       
        145 |   2400 |     1 |       8 |        1 | 0       
        146 |   2400 |     1 |       8 |        2 | 0       
        147 |   2400 |     1 |       8 |        5 | 0       
        148 |   2400 |     1 |       8 |        0 | 30      
        149 |   2400 |     1 |       8 |        0 | 60      
        150 |   2400 |     1 |       8 |        0 | 100     
        151 |   2400 |     1 |       8 |        0 | 200     
        152 |   2400 |     1 |       8 |        0 | 250     
        153 |   2400 |     1 |       8 |        0 | 500     
        154 |   2400 |     1 |       8 |        0 | 1000    
        155 |   2400 |     1 |       4 |     0.01 | 200     
        156 |   2400 |     1 |       6 |     0.01 | 250     
        157 |   2400 |     1 |       6 |     0.01 | 500     
        158 |   2400 |     1 |       6 |     0.01 | 1000    
        159 |   2400 |     1 |       6 |      0.1 | 200     
        160 |   2400 |     1 |       6 |      0.1 | 250     
        161 |   2400 |     1 |       8 |      0.1 | 500     
        162 |   2400 |     1 |       8 |      0.1 | 1000    
        163 |   2400 |     1 |       8 |      0.5 | 200     
        164 |   2400 |     1 |       8 |      0.5 | 250     
        165 |   2400 |     1 |       8 |      0.5 | 500     
        166 |   2400 |     1 |       8 |      0.5 | 1000    
        167 |   2400 |     1 |       8 |        2 | 200     
        168 |   2400 |     1 |       8 |        2 | 250     
        169 |   2400 |     1 |       8 |        2 | 500     
        170 |   2400 |     1 |       8 |        2 | 1000    
        171 |   2400 |     1 |       8 |        5 | 200     
        172 |   2400 |     1 |       8 |        5 | 250     
        173 |   2400 |     1 |       8 |        5 | 500     
        174 |   2400 |     1 |       8 |        5 | 1000    
        175 |   4800 |     1 |       6 |      0.1 | 0       
        176 |   4800 |     1 |       8 |        1 | 0       
        177 |   4800 |     1 |       8 |        2 | 0       
        178 |   4800 |     1 |       8 |        5 | 0       
        179 |   4800 |     1 |       8 |        0 | 30      
        180 |   4800 |     1 |       8 |        0 | 60      
        181 |   4800 |     1 |       8 |        0 | 100     
        182 |   4800 |     1 |       8 |        0 | 200     
        183 |   4800 |     1 |       8 |        0 | 250     
        184 |   4800 |     1 |       8 |        0 | 500     
        185 |   4800 |     1 |       8 |        0 | 1000    
        186 |   4800 |     1 |       8 |        0 | 2000    
        187 |   4800 |     1 |       6 |     0.01 | 500     
        188 |   4800 |     1 |       6 |     0.01 | 1000    
        189 |   4800 |     1 |       6 |     0.01 | 2000    
        190 |   4800 |     1 |       6 |      0.1 | 500     
        191 |   4800 |     1 |       6 |      0.1 | 1000    
        192 |   4800 |     1 |       8 |      0.1 | 2000    
        193 |   4800 |     1 |       8 |      0.5 | 500     
        194 |   4800 |     1 |       8 |      0.5 | 1000    
        195 |   4800 |     1 |       8 |      0.5 | 2000    
        196 |   4800 |     1 |       8 |        2 | 500     
        197 |   4800 |     1 |       8 |        2 | 1000    
        198 |   4800 |     1 |       8 |        2 | 2000    
        199 |   4800 |     1 |       8 |        5 | 500     
        200 |   4800 |     1 |       8 |        5 | 1000    
        201 |   4800 |     1 |       8 |        5 | 2000    



Notch ID:   |  Fs:   | Type: |  Order: |   f_low: | f_high: 

          0 |    128 |     1 |       4 |       48 | 52      
          1 |    128 |     1 |       4 |       58 | 62      
          2 |    256 |     1 |       4 |       48 | 52      
          3 |    256 |     1 |       4 |       58 | 62      
          4 |    512 |     1 |       4 |       48 | 52      
          5 |    512 |     1 |       4 |       58 | 62      
          6 |    600 |     1 |       4 |       48 | 52      
          7 |    600 |     1 |       4 |       58 | 62      
          8 |   1200 |     1 |       4 |       48 | 52      
          9 |   1200 |     1 |       4 |       58 | 62      
         10 |   2400 |     1 |       4 |       48 | 52      
         11 |   2400 |     1 |       4 |       58 | 62      
         12 |   4800 |     1 |       4 |       48 | 52      
         13 |   4800 |     1 |       4 |       58 | 62      
